Time(ms) photo_num Photo_Time speed steer_pos servo_pos sonar_dist lon lat gps_time magx magy magz gyroz delta_enc_counts
7121 36 0 0 570 117 2226 -1 -1 -1 0.0 -33.7 -83.4 -0.01 0
7160 36 0 0 570 114 2314 -1 -1 -1 35.4 -33.7 -83.4 -0.01 0
7198 36 0 0 570 111 2220 -1 -1 -1 35.0 -33.4 -83.1 -0.01 0
7237 36 0 0 570 108 2778 -1 -1 -1 35.0 -33.4 -83.1 -0.01 0
7274 37 0 0 570 105 0 -1 -1 -1 35.5 -34.0 -82.7 -0.01 0
7314 37 0 0 570 102 0 -1 -1 -1 35.5 -34.0 -82.7 0.0 0
7352 37 0 0 570 99 3131 -1 -1 -1 35.3 -33.5 -83.2 -0.01 0
7389 37 0 0 570 96 3195 -1 -1 -1 35.3 -33.5 -83.3 -0.01 0
7428 37 0 0 570 93 3225 -1 -1 -1 35.4 -33.3 -83.3 -0.01 0
7466 38 0 0 570 90 0 -1 -1 -1 35.1 -33.0 -83.2 -0.01 0
7504 38 0 0 570 87 0 -1 -1 -1 35.1 -33.0 -83.2 -0.01 0
7543 38 0 0 570 84 0 -1 -1 -1 35.3 -34.1 -83.2 -0.01 0
7580 38 0 0 570 81 2554 -1 -1 -1 35.3 -34.1 -83.2 -0.01 0
7619 38 0 0 570 78 2374 -1 -1 -1 35.3 -33.5 -83.0 -0.01 0
7658 39 0 0 570 75 2709 -1 -1 -1 35.3 -33.5 -83.0 -0.01 0
7696 39 0 -15 570 72 0 -1 -1 -1 35.3 -34.0 -83.3 -0.01 0
7733 39 0 -16 570 69 0 -1 -1 -1 35.3 -34.0 -83.3 -0.01 0
7772 39 0 -16 570 66 1207 -1 -1 -1 35.3 -34.0 -83.3 -0.01 0
7810 39 0 -16 570 63 976 -1 -1 -1 35.3 -33.7 -83.9 -0.01 0
7849 40 0 -16 570 60 844 -1 -1 -1 35.3 -33.7 -83.9 -0.01 0
7887 40 0 -16 570 57 842 -1 -1 -1 35.6 -33.7 -83.7 -0.01 0
7925 40 0 -16 570 54 858 -1 -1 -1 35.6 -33.7 -83.7 0.0 0
7963 40 0 -16 570 51 879 -1 -1 -1 35.3 -33.5 -83.5 -0.01 0
8002 40 0 -16 570 48 898 -1 -1 -1 35.3 -33.5 -83.5 -0.01 0
8040 41 0 -16 570 45 814 -1 -1 -1 34.8 -33.0 -83.9 0.0 0
8078 41 0 -16 570 42 726 -1 -1 -1 35.0 -33.7 -83.8 -0.01 0
8116 41 0 -16 570 45 638 -1 -1 -1 35.0 -33.7 -83.8 -0.01 0
8155 41 0 -16 570 48 619 -1 -1 -1 35.0 -33.8 -83.6 -0.01 0
8193 41 0 -16 570 51 712 -1 -1 -1 35.0 -33.8 -83.6 0.0 0
8231 42 0 -16 570 54 842 -1 -1 -1 35.6 -33.9 -83.4 -0.01 0
8269 42 0 -16 570 57 829 -1 -1 -1 35.6 -33.9 -83.4 -0.01 0
8307 42 0 -16 570 60 900 -1 -1 -1 35.3 -33.6 -83.2 -0.01 0
8345 42 0 -16 570 63 875 -1 -1 -1 35.3 -33.3 -83.9 -0.01 0
8384 42 0 -16 570 66 854 -1 -1 -1 34.9 -33.3 -83.9 -0.01 0
8422 43 0 -20 570 69 837 -1 -1 -1 35.1 -33.5 -83.5 0.0 0
